 #dectime HR   MN      Qh          Qe           T         H20         WS          DIR           P         Kdn         Ldn       Qstar    
   #units  h    m    W|m2        W|m2        degC        g|m3        m|s          deg         hPa        W|m2        W|m2        W|m2     
 168.3958   9  30  220.04      24.942      18.337      7.6700      5.9750      305.75      1013.1      538.95      310.86      307.14    
 168.4167  10   0  229.32      55.183      18.593      7.2960      7.2290      309.65      1013.1      633.60      316.18      384.34    
 168.4375  10  30  262.13      52.904      18.649      7.3630      6.0700      304.55      1013.0      660.90      316.03      404.01    
 168.4583  11   0  272.86     -999.00      19.068     -999.00      5.5650      306.61      1012.9      774.00      317.28      488.20    
 168.4792  11  30  323.64     -999.00      19.238     -999.00      6.5550      305.37      1012.9      849.50      318.40      545.73    
 168.5000  12   0  378.48     -999.00      19.722     -999.00      6.4000      300.98      1013.0      899.50      322.19      586.76    
 168.5208  12  30  340.23      64.791      20.331      7.0760      6.3080      304.58      1013.0      939.00      326.34      619.59    
 168.5417  13   0  351.66      58.701      20.769      7.0730      6.3300      301.80      1012.9      969.00      331.88      646.54    
 168.5625  13  30  312.26      486.40      20.878      7.5470      5.8330      302.67      1012.8      971.50      330.15      648.70    
 168.5833  14   0  527.75      61.727      20.230      9.1960      5.6580      277.67      1012.8      964.00      329.78      643.41    
 168.6042  14  30  543.75      44.522      19.920      9.2130      6.8190      272.91      1012.8      958.50      330.43      641.28    
 168.6250  15   0  608.32     -17.449      20.188      9.5550      5.9720      274.33      1012.7      940.50      330.80      629.29    
 168.6458  15  30  377.18     -999.00      21.650     -999.00      6.1720      299.61      1012.5      899.50      332.18      596.09    
 168.6667  16   0  341.01     -999.00      21.880     -999.00      7.3100      306.08      1012.3      858.00      332.18      567.43    
 168.6875  16  30  294.21     -999.00      22.107     -999.00      7.8690      305.71      1012.2      803.50      331.95      527.00    
 168.7083  17   0  328.37      86.079      22.376      6.9910      7.2930      307.06      1011.9      736.50      329.97      472.98    
 168.7292  17  30  335.72      85.414      22.622      6.7020      7.1970      308.39      1011.7      660.50      327.64      410.02    
 168.7500  18   0  302.69      35.744      22.733      6.7320      6.8540      309.14      1011.6      548.90      325.96      319.55    
 168.7708  18  30  278.94      113.44      22.274      7.5150      7.2300      302.03      1011.6      465.85      326.15      257.89    
 168.7917  19   0  232.86      70.565      21.986      7.8120      7.6520      302.20      1011.7      378.50      325.99      191.03    
 168.8125  19  30  226.05      104.83      21.887      7.7310      6.8820      298.78      1011.8      283.10      323.73      114.39    
 168.8333  20   0  175.63      20.906      21.585      7.9480      7.1840      304.30      1012.0      191.90      320.66      38.804    
 168.8542  20  30  141.46      13.713      21.400      7.7320      7.8900      307.28      1012.2      110.05      318.62     -28.348    
 168.8750  21   0  104.76      24.988      21.127      7.8630      7.5250      311.13      1012.5      50.295      317.75     -71.462    
 168.8958  21  30  70.613      20.797      20.747      8.1540      6.8820      312.45      1012.8      7.0190      317.86     -95.877    
 168.9167  22   0  74.132      20.110      20.510      8.2230      6.9640      308.89      1013.3     -1.9010      318.41     -99.052    
 168.9375  22  30  71.506      10.794      20.156      8.5470      7.3660      308.38      1013.6     -2.3150      317.85     -97.546    
 168.9583  23   0  65.061      33.049      19.673      8.7750      7.0000      308.03      1014.0     -2.1830      319.50     -93.287    
 168.9792  23  30  58.025      18.432      19.391      8.8540      6.2070      311.09      1014.3     -2.3050      315.82     -95.056    
 169.0000   0   0  52.356      13.426      19.116      8.9340      6.1490      311.49      1014.6     -2.2480      314.52     -94.491    
 169.0208   0  30  46.334      12.154      18.939      8.9730      6.0400      310.13      1014.8     -2.2250      314.60     -93.069    
 169.0417   1   0  39.826      15.128      18.704      8.9400      5.8880      308.52      1015.0     -2.2830      313.60     -92.680    
 169.0625   1  30  41.286      14.865      18.421      8.9010      5.9110      304.80      1015.1     -2.2810      312.14     -92.484    
 169.0833   2   0  35.186      13.213      18.246      8.9110      5.4380      305.64      1015.2     -2.3260      311.50     -91.990    
 169.1042   2  30  47.050      23.465      18.046      8.8840      6.2110      306.42      1015.2     -2.1620      310.51     -91.695    
 169.1250   3   0  36.731      7.3480      17.779      9.0360      6.1240      306.06      1015.3     -2.2500      309.98     -90.907    
 169.1458   3  30  48.629      13.526      17.646      9.2250      5.4900      307.03      1015.1     -2.2120      309.73     -90.122    
 169.1667   4   0  46.342      21.464      17.424      9.2210      5.8170      307.32      1014.9     -2.2380      308.55     -90.092    
 169.1875   4  30  39.992      25.172      17.115      9.2370      5.4240      303.04      1014.7     -2.2810      306.73     -90.349    
 169.2083   5   0  36.070      9.7220      16.973      9.1780      5.9010      306.17      1014.6     -2.1500      305.77     -90.239    
 169.2292   5  30  48.268      5.6260      16.923      9.4210      5.2970      309.05      1014.4     -2.1380      305.64     -89.820    
